ID,Flood depth RP 30000,Flood depth RP 3000,Flood depth RP 300,Flood depth RP 30,Flood depth RP 10,area,Property_value:income
1143982,3.34680008888245,3.34680008888245,3.12409996986389,1.93050003051758,0,100.396187060514,34.6558112574402
1143992,3.06690001487732,3.06690001487732,2.84409999847412,1.65050005912781,0,158.01447034304,54.5450959890741
1143997,3.06680011749268,3.06680011749268,2.84409999847412,1.65050005912781,0,2466.72929199765,851.491548330842
1144003,3.31680011749268,3.31680011749268,3.09409999847412,1.90050005912781,0,808.939303152233,279.238172579913
1144018,3.19689989089966,3.19689989089966,2.97410011291504,1.78050005435944,0,2012.07977781409,694.550849553753
1144019,3.98179984092712,3.98179984092712,3.75909996032715,2.56550002098083,0,3139.1245217291,1083.59600223735
1144020,3.05548739433289,3.05548739433289,2.8327751159668,1.63908743858337,0,4765.6517296789,1645.05776263093
1144023,2.86680006980896,2.86680006980896,2.6440999507904,1.45050001144409,0,625.268631016375,215.836799146968
1144034,2.8668999671936,2.8668999671936,2.6440999507904,1.45050001144409,0,2546.16240520114,878.911105381467
1144037,3.11218738555908,3.11218738555908,2.88942503929138,1.69578754901886,0,823.90698578042,284.404874616227
1144038,3.36680006980896,3.36680006980896,3.1440999507904,1.95050001144409,0,6395.70065346586,2207.73518591898
1144040,3.54679989814758,3.54679989814758,3.32410001754761,2.13050007820129,0,1130.82647257311,390.350569536958
1144058,2.8668999671936,2.8668999671936,2.6440999507904,1.45050001144409,0,401.509397420439,138.597234641035
1144059,3.02971243858337,3.02971243858337,2.80691242218018,1.61331248283386,0,186.824766757327,64.490136971583
1144078,3.80430006980896,3.80430006980896,3.5815999507904,2.38800001144409,0,9306.89934150898,3212.65335283022
1144082,3.66561245918274,3.66561245918274,3.44285011291504,2.24924993515015,0,1302.33581803317,449.553968382858
1144085,2.97308731079102,2.97308731079102,2.75034999847412,1.55674993991852,0,440.828915139447,152.169959110961
1144086,3.36680006980896,3.36680006980896,3.1440999507904,1.95050001144409,0,1421.77457368003,490.783093648602
1144092,2.8668999671936,2.8668999671936,2.6440999507904,1.45050001144409,0,1871.53692249369,646.036789307325
1144093,2.86680006980896,2.86680006980896,2.6440999507904,1.45050001144409,0,4302.80357133148,1485.28696967369
1144113,2.78533744812012,2.78533744812012,2.5625376701355,1.36893749237061,0,2359.23993801952,814.387243150357
1144120,3.54679989814758,3.54679989814758,3.32410001754761,2.13050007820129,0,3577.05762410933,1234.76635425806
